wavelength,CIE 1924 - V(lbd) ,CIE 1951 - V'(lbd),CIE 1931 - x2,CIE 1931 - y2,CIE 1931 - z2,CIE 1964 - x10,CIE 1964 - y10,CIE 1964 - z10
731,4.84E-04,2.39E-06,1.34E-03,4.84E-04,0.00E+00,9.72E-04,3.79E-04,0.00E+00
732,4.50E-04,2.25E-06,1.25E-03,4.50E-04,0.00E+00,9.04E-04,3.53E-04,0.00E+00
733,4.18E-04,2.12E-06,1.16E-03,4.18E-04,0.00E+00,8.40E-04,3.28E-04,0.00E+00
734,3.89E-04,1.99E-06,1.08E-03,3.89E-04,0.00E+00,7.82E-04,3.05E-04,0.00E+00
735,3.61E-04,1.87E-06,1.00E-03,3.61E-04,0.00E+00,7.27E-04,2.84E-04,0.00E+00
736,3.35E-04,1.76E-06,9.29E-04,3.35E-04,0.00E+00,6.77E-04,2.64E-04,0.00E+00
737,3.11E-04,1.66E-06,8.62E-04,3.11E-04,0.00E+00,6.30E-04,2.46E-04,0.00E+00
738,2.89E-04,1.56E-06,8.01E-04,2.89E-04,0.00E+00,5.86E-04,2.29E-04,0.00E+00
739,2.68E-04,1.47E-06,7.43E-04,2.68E-04,0.00E+00,5.46E-04,2.13E-04,0.00E+00
740,2.49E-04,1.38E-06,6.90E-04,2.49E-04,0.00E+00,5.08E-04,1.99E-04,0.00E+00
741,2.31E-04,1.30E-06,6.41E-04,2.31E-04,0.00E+00,4.73E-04,1.85E-04,0.00E+00
742,2.15E-04,1.22E-06,5.95E-04,2.15E-04,0.00E+00,4.41E-04,1.72E-04,0.00E+00
743,1.99E-04,1.15E-06,5.52E-04,1.99E-04,0.00E+00,4.11E-04,1.61E-04,0.00E+00
744,1.85E-04,1.08E-06,5.12E-04,1.85E-04,0.00E+00,3.82E-04,1.50E-04,0.00E+00
745,1.72E-04,1.02E-06,4.76E-04,1.72E-04,0.00E+00,3.56E-04,1.40E-04,0.00E+00
746,1.60E-04,9.62E-07,4.42E-04,1.60E-04,0.00E+00,3.32E-04,1.30E-04,0.00E+00
747,1.49E-04,9.07E-07,4.12E-04,1.49E-04,0.00E+00,3.10E-04,1.21E-04,0.00E+00
748,1.38E-04,8.55E-07,3.83E-04,1.38E-04,0.00E+00,2.89E-04,1.13E-04,0.00E+00
749,1.29E-04,8.06E-07,3.57E-04,1.29E-04,0.00E+00,2.69E-04,1.06E-04,0.00E+00
750,1.20E-04,7.60E-07,3.32E-04,1.20E-04,0.00E+00,2.51E-04,9.84E-05,0.00E+00
751,1.12E-04,7.16E-07,3.10E-04,1.12E-04,0.00E+00,2.34E-04,9.19E-05,0.00E+00
752,1.04E-04,6.75E-07,2.89E-04,1.04E-04,0.00E+00,2.18E-04,8.57E-05,0.00E+00
753,9.73E-05,6.37E-07,2.70E-04,9.73E-05,0.00E+00,2.04E-04,8.00E-05,0.00E+00
754,9.08E-05,6.01E-07,2.52E-04,9.08E-05,0.00E+00,1.90E-04,7.48E-05,0.00E+00
755,8.48E-05,5.67E-07,2.35E-04,8.48E-05,0.00E+00,1.78E-04,6.98E-05,0.00E+00
756,7.91E-05,5.35E-07,2.19E-04,7.91E-05,0.00E+00,1.66E-04,6.52E-05,0.00E+00
757,7.39E-05,5.05E-07,2.05E-04,7.39E-05,0.00E+00,1.55E-04,6.09E-05,0.00E+00
758,6.89E-05,4.77E-07,1.91E-04,6.89E-05,0.00E+00,1.45E-04,5.69E-05,0.00E+00
759,6.43E-05,4.50E-07,1.78E-04,6.43E-05,0.00E+00,1.35E-04,5.32E-05,0.00E+00
760,6.00E-05,4.25E-07,1.66E-04,6.00E-05,0.00E+00,1.26E-04,4.97E-05,0.00E+00
761,5.60E-05,4.01E-07,1.55E-04,5.60E-05,0.00E+00,1.18E-04,4.65E-05,0.00E+00
762,5.22E-05,3.79E-07,1.45E-04,5.22E-05,0.00E+00,1.10E-04,4.35E-05,0.00E+00
763,4.87E-05,3.58E-07,1.35E-04,4.87E-05,0.00E+00,1.03E-04,4.06E-05,0.00E+00
764,4.54E-05,3.38E-07,1.26E-04,4.54E-05,0.00E+00,9.64E-05,3.80E-05,0.00E+00
765,4.24E-05,3.20E-07,1.17E-04,4.24E-05,0.00E+00,9.02E-05,3.55E-05,0.00E+00
766,3.96E-05,3.02E-07,1.10E-04,3.96E-05,0.00E+00,8.43E-05,3.32E-05,0.00E+00
767,3.69E-05,2.86E-07,1.02E-04,3.69E-05,0.00E+00,7.88E-05,3.11E-05,0.00E+00
768,3.44E-05,2.70E-07,9.54E-05,3.44E-05,0.00E+00,7.37E-05,2.91E-05,0.00E+00
769,3.21E-05,2.55E-07,8.90E-05,3.21E-05,0.00E+00,6.90E-05,2.72E-05,0.00E+00
770,3.00E-05,2.41E-07,8.31E-05,3.00E-05,0.00E+00,6.45E-05,2.55E-05,0.00E+00
771,2.80E-05,2.28E-07,7.75E-05,2.80E-05,0.00E+00,6.04E-05,2.39E-05,0.00E+00
772,2.61E-05,2.16E-07,7.23E-05,2.61E-05,0.00E+00,5.65E-05,2.23E-05,0.00E+00
773,2.44E-05,2.04E-07,6.75E-05,2.44E-05,0.00E+00,5.29E-05,2.09E-05,0.00E+00
774,2.27E-05,1.93E-07,6.29E-05,2.27E-05,0.00E+00,4.95E-05,1.96E-05,0.00E+00
775,2.12E-05,1.83E-07,5.87E-05,2.12E-05,0.00E+00,4.63E-05,1.83E-05,0.00E+00
776,1.98E-05,1.73E-07,5.48E-05,1.98E-05,0.00E+00,4.34E-05,1.72E-05,0.00E+00
777,1.85E-05,1.64E-07,5.11E-05,1.85E-05,0.00E+00,4.06E-05,1.61E-05,0.00E+00
778,1.72E-05,1.55E-07,4.77E-05,1.72E-05,0.00E+00,3.81E-05,1.51E-05,0.00E+00
779,1.61E-05,1.47E-07,4.45E-05,1.61E-05,0.00E+00,3.57E-05,1.41E-05,0.00E+00
780,1.50E-05,1.39E-07,4.15E-05,1.50E-05,0.00E+00,3.34E-05,1.32E-05,0.00E+00
781,1.40E-05,,3.87E-05,1.40E-05,0.00E+00,3.13E-05,1.24E-05,0.00E+00
782,1.31E-05,,3.61E-05,1.31E-05,0.00E+00,2.94E-05,1.16E-05,0.00E+00
783,1.22E-05,,3.37E-05,1.22E-05,0.00E+00,2.75E-05,1.09E-05,0.00E+00
784,1.14E-05,,3.15E-05,1.14E-05,0.00E+00,2.58E-05,1.03E-05,0.00E+00
785,1.06E-05,,2.94E-05,1.06E-05,0.00E+00,2.42E-05,9.62E-06,0.00E+00
786,9.89E-06,,2.74E-05,9.89E-06,0.00E+00,2.27E-05,9.03E-06,0.00E+00
787,9.22E-06,,2.55E-05,9.22E-06,0.00E+00,2.13E-05,8.47E-06,0.00E+00
788,8.59E-06,,2.38E-05,8.59E-06,0.00E+00,2.00E-05,7.95E-06,0.00E+00
789,8.01E-06,,2.22E-05,8.01E-06,0.00E+00,1.88E-05,7.47E-06,0.00E+00
790,7.47E-06,,2.07E-05,7.47E-06,0.00E+00,1.76E-05,7.01E-06,0.00E+00
791,6.96E-06,,1.93E-05,6.96E-06,0.00E+00,1.65E-05,6.59E-06,0.00E+00
792,6.49E-06,,1.80E-05,6.49E-06,0.00E+00,1.55E-05,6.19E-06,0.00E+00
793,6.05E-06,,1.67E-05,6.05E-06,0.00E+00,1.46E-05,5.81E-06,0.00E+00
794,5.64E-06,,1.56E-05,5.64E-06,0.00E+00,1.37E-05,5.46E-06,0.00E+00
795,5.26E-06,,1.46E-05,5.26E-06,0.00E+00,1.29E-05,5.13E-06,0.00E+00
796,4.90E-06,,1.36E-05,4.90E-06,0.00E+00,1.21E-05,4.82E-06,0.00E+00
797,4.57E-06,,1.27E-05,4.57E-06,0.00E+00,1.13E-05,4.53E-06,0.00E+00
798,4.26E-06,,1.18E-05,4.26E-06,0.00E+00,1.07E-05,4.26E-06,0.00E+00
799,3.97E-06,,1.10E-05,3.97E-06,0.00E+00,1.00E-05,4.00E-06,0.00E+00
800,3.70E-06,,1.03E-05,3.70E-06,0.00E+00,9.41E-06,3.76E-06,0.00E+00
801,3.45E-06,,9.56E-06,3.45E-06,0.00E+00,8.85E-06,3.54E-06,0.00E+00
802,3.22E-06,,8.91E-06,3.22E-06,0.00E+00,8.32E-06,3.33E-06,0.00E+00
803,3.00E-06,,8.31E-06,3.00E-06,0.00E+00,7.82E-06,3.13E-06,0.00E+00
804,2.80E-06,,7.75E-06,2.80E-06,0.00E+00,7.35E-06,2.95E-06,0.00E+00
