nm,CIE 1924 - V(lbd) ,CIE 1951 - V'(lbd),CIE 1931 - x2,CIE 1931 - y2,CIE 1931 - z2,CIE 1964 - x10,CIE 1964 - y10,CIE 1964 - z10
538,0.93992260000000000000,0.68300000000000000000,0.263992200000,0.939922600000,0.023787160000,0.34723200000000000000,0.94852000000000000000,0.01640300000000000000
539,0.94722520000000000000,0.66700000000000000000,0.277101700000,0.947225200000,0.021989250000,0.36192600000000000000,0.95560000000000000000,0.01506400000000000000
540,0.95400000000000000000,0.65000000000000000000,0.290400000000,0.954000000000,0.020300000000,0.37677200000000000000,0.96198800000000000000,0.01367600000000000000
541,0.96025610000000000000,0.63300000000000000000,0.303891200000,0.960256100000,0.018718050000,0.39168300000000000000,0.96754000000000000000,0.01230800000000000000
542,0.96600740000000000000,0.61600000000000000000,0.317572600000,0.966007400000,0.017240360000,0.40659400000000000000,0.97223000000000000000,0.01105600000000000000
543,0.97126060000000000000,0.59900000000000000000,0.331438400000,0.971260600000,0.015863640000,0.42153900000000000000,0.97617000000000000000,0.00991500000000000000
544,0.97602250000000000000,0.58100000000000000000,0.345482800000,0.976022500000,0.014584610000,0.43651700000000000000,0.97946000000000000000,0.00887200000000000000
545,0.98030000000000000000,0.56400000000000000000,0.359700000000,0.980300000000,0.013400000000,0.45158400000000000000,0.98220000000000000000,0.00791800000000000000
546,0.98409240000000000000,0.54800000000000000000,0.374083900000,0.984092400000,0.012307230000,0.46678200000000000000,0.98452000000000000000,0.00703000000000000000
547,0.98741820000000000000,0.53100000000000000000,0.388639600000,0.987418200000,0.011301880000,0.48214700000000000000,0.98652000000000000000,0.00622300000000000000
548,0.99031280000000000000,0.51400000000000000000,0.403378400000,0.990312800000,0.010377920000,0.49773800000000000000,0.98832000000000000000,0.00545300000000000000
549,0.99281160000000000000,0.49700000000000000000,0.418311500000,0.992811600000,0.009529306000,0.51360600000000000000,0.99002000000000000000,0.00471400000000000000
550,0.99495010000000000000,0.48100000000000000000,0.433449900000,0.994950100000,0.008749999000,0.52982600000000000000,0.99176100000000000000,0.00398800000000000000
551,0.99671080000000000000,0.46500000000000000000,0.448795300000,0.996710800000,0.008035200000,0.54644000000000000000,0.99353000000000000000,0.00328900000000000000
552,0.99809830000000000000,0.44800000000000000000,0.464336000000,0.998098300000,0.007381600000,0.56342600000000000000,0.99523000000000000000,0.00264600000000000000
553,0.99911200000000000000,0.43300000000000000000,0.480064000000,0.999112000000,0.006785400000,0.58072600000000000000,0.99677000000000000000,0.00206300000000000000
554,0.99974820000000000000,0.41700000000000000000,0.495971300000,0.999748200000,0.006242800000,0.59829000000000000000,0.99809000000000000000,0.00153300000000000000
555,1.00000000000000000000,0.40200000000000000000,0.512050100000,1.000000000000,0.005749999000,0.61605300000000000000,0.99911000000000000000,0.00109100000000000000
556,0.99985670000000000000,0.38640000000000000000,0.528295900000,0.999856700000,0.005303600000,0.63394800000000000000,0.99977000000000000000,0.00071100000000000000
557,0.99930460000000000000,0.37150000000000000000,0.544691600000,0.999304600000,0.004899800000,0.65190100000000000000,1.00000000000000000000,0.00040700000000000000
558,0.99832550000000000000,0.35690000000000000000,0.561209400000,0.998325500000,0.004534200000,0.66982400000000000000,0.99971000000000000000,0.00018400000000000000
559,0.99689870000000000000,0.34270000000000000000,0.577821500000,0.996898700000,0.004202400000,0.68763200000000000000,0.99885000000000000000,0.00004700000000000000
560,0.99500000000000000000,0.32880000000000000000,0.594500000000,0.995000000000,0.003900000000,0.70522400000000000000,0.99734000000000000000,0.00000000000000000000
