nm,S-cone-opic,M-cone-opic,L-cone-opic,rhodopic,melanopic
692,0.00E+00,5.83E-04,9.43E-03,3.08E-05,4.18E-06
693,0.00E+00,5.42E-04,8.77E-03,2.87E-05,3.90E-06
694,0.00E+00,5.03E-04,8.16E-03,2.68E-05,3.65E-06
695,0.00E+00,4.68E-04,7.59E-03,2.50E-05,3.41E-06
696,0.00E+00,4.35E-04,7.07E-03,2.34E-05,3.19E-06
697,0.00E+00,4.04E-04,6.57E-03,2.18E-05,2.98E-06
698,0.00E+00,3.76E-04,6.11E-03,2.04E-05,2.79E-06
699,0.00E+00,3.50E-04,5.68E-03,1.91E-05,2.61E-06
700,0.00E+00,3.25E-04,5.29E-03,1.78E-05,2.44E-06
701,0.00E+00,3.02E-04,4.92E-03,1.66E-05,2.28E-06
702,0.00E+00,2.81E-04,4.57E-03,1.56E-05,2.14E-06
703,0.00E+00,2.61E-04,4.25E-03,1.45E-05,2.00E-06
704,0.00E+00,2.43E-04,3.95E-03,1.36E-05,1.87E-06
705,0.00E+00,2.26E-04,3.67E-03,1.27E-05,1.75E-06
706,0.00E+00,2.09E-04,3.40E-03,1.19E-05,1.64E-06
707,0.00E+00,1.94E-04,3.16E-03,1.11E-05,1.54E-06
708,0.00E+00,1.80E-04,2.93E-03,1.04E-05,1.44E-06
709,0.00E+00,1.67E-04,2.71E-03,9.76E-06,1.35E-06
710,0.00E+00,1.55E-04,2.51E-03,9.14E-06,1.27E-06
711,0.00E+00,1.44E-04,2.33E-03,8.56E-06,1.19E-06
712,0.00E+00,1.34E-04,2.16E-03,8.02E-06,1.11E-06
713,0.00E+00,1.24E-04,2.00E-03,7.51E-06,1.04E-06
714,0.00E+00,1.16E-04,1.86E-03,7.04E-06,9.78E-07
715,0.00E+00,1.07E-04,1.72E-03,6.60E-06,9.18E-07
716,0.00E+00,9.99E-05,1.60E-03,6.18E-06,8.62E-07
717,0.00E+00,9.29E-05,1.48E-03,5.80E-06,8.09E-07
718,0.00E+00,8.65E-05,1.38E-03,5.44E-06,7.59E-07
719,0.00E+00,8.05E-05,1.28E-03,5.10E-06,7.12E-07
720,0.00E+00,7.49E-05,1.19E-03,4.78E-06,6.69E-07
721,0.00E+00,6.98E-05,1.10E-03,4.49E-06,6.28E-07
722,0.00E+00,6.49E-05,1.03E-03,4.21E-06,5.90E-07
723,0.00E+00,6.05E-05,9.53E-04,3.95E-06,5.54E-07
724,0.00E+00,5.63E-05,8.85E-04,3.71E-06,5.21E-07
725,0.00E+00,5.25E-05,8.22E-04,3.48E-06,4.90E-07
